fandom_name,frequency,classification
三国演义 - 罗贯中 | Romance of the Three Kingdoms - Luo Guanzhong,148,Book
火鳳燎原 | The Ravages of Time (Manhua),83,Manhua
Shin Sangokumusou | Dynasty Warriors,70,Video Game
Warriors Orochi,69,Video Game
唐朝历史 | Tang Dynasty RPF,65,History Period
军师联盟 | The Advisors Alliance (TV),49,TV
代号鸢 | Ashes of the Kingdom (Video Game),45,Video Game
???? | The Chat of the Three Kingdoms (Webcomic),34,Webcomics
墨魂 | Soul of Ink (Visual Novel),28,Video Game
忘川风华录 | Wàng Chuān Fēng Huá Lù (Video Game),24,Video Game
清朝历史 | Qing Dynasty RPF,20,History Period
Chì Bì | Red Cliff (2008),19,Movie
大明王朝1566 | Da Ming Wang Chao 1566 | Ming Dynasty in 1566 (TV),18,TV
大秦帝国 | The Qin Empire (TV),17,TV
秦时明月 | The Legend of Qin (Cartoon 2007),15,Cartoon
山河月明 | The Imperial Age (TV),13,TV
三国历史 | Three Kingdoms History RPF,7,History Period
楚汉传奇 | King's War (TV),7,TV
江南百景图 | CanalTowns (Video Game),6,Video Game
天行九歌 | Nine Songs of the Moving Heavens (Cartoon),6,Cartoon
绍宋 - 榴弹怕水 | Shào Sòng - Liú Dàn Pà Shuǐ,6,Book
燕云十六声 | Where Winds Meet (Video Game),5,Video Game
后宫甄嬛传 | The Legend of Zhen Huan | Empresses in the Palace (TV),5,TV
Original Work,5,N/A
封神演义 - 许仲琳 & 陸西星 | Creation of the Gods - Xu Zhonglin & Lu Xixing,5,Book
如懿传 | Ruyi's Royal Love in the Palace (TV),5,TV
步步惊心 | Scarlet Heart (China TV 2011),5,TV
封神三部曲 | Creation of the Gods (Wuershan Movies),5,Movie
芈月传 | The Legend of MiYue (TV),5,TV
花之舞-清朝宫廷恋爱宫心计 | Legend of the Phoenix (Video Game),5,Video Game
倚天屠龙记 | Heavenly Sword and Dragon Slaying Saber (TV 2019),4,TV
铁齿铜牙纪晓岚 | The Bronze Teeth (TV),4,TV
三國殺 | Sānguóshā | Legends of the Three Kingdoms,4,Video Game
孤城闭 | Serenade of Peaceful Joy (TV),4,TV
關雲長?The Lost Bladesman (2011),4,Movie
Mongolian History RPF,4,History Period
武媚娘传奇 | The Empress of China (TV),4,TV
射鵰三部曲 - 金庸 | Shè Diāo Sān Bù Qǔ - Jin Yong | Condor Trilogy - Jin Yong,4,Book
剑侠情缘 | Jianxiaqingyuan | JX (Video Games),3,Video Game
延禧攻略 | Story of Yanxi Palace (TV),3,TV
大明风华 | Ming Dynasty (TV 2019),3,TV
Dà Táng Hóng Yán Fù | Tang Dynasty Girl Poem (Music Video),3,N/A
狄仁傑 | Dí Rénjié | Detective Dee (Movies),3,Movie
Hújiā Shíbā Pāi | Eighteen Songs of a Nomad Flute,3,History Period
定海浮生录 - 非天夜翔 | Dinghai Fusheng Records - Fei Tian Ye Xiang,3,Book
覆汉 - 榴弹怕水 | Fù Hàn - Liú Dàn Pà Shuǐ,3,Book
水浒传 | All Men Are Brothers (TV 2011),2,TV
甄嬛 | Empresses in the Palace (Opera),2,N/A
水浒传 - 施耐庵 | Water Margin - Shi Naian,2,Book
Chinese Folk Religion & Lore,2,History Period
姜子牙 | Jiang Ziya: Legend of Deification (2020),2,Movie
长安三万里 | Chang An (2023),2,Movie
江东双璧 - 非天夜翔 | Jiāngdōng Shuāng Bì - Fēi Tiān Yè Xiáng,2,Book
Stargate SG-1 - Various Authors,2,TV
封神榜 | Gods of Honour (TV 2001),2,TV
锦衣之下 | Under the Power (TV),2,TV
还珠格格 | Huán Zhū Gé Gé | Princess Returning Pearl (TV 1998-2003),2,TV
满江红 | Full River Red (2023),2,Movie
????? | Gwanggaeto The Great Conqueror (TV),2,TV
皇兄何故造反 - 月麒麟 | Huáng Xiōng Hé Gù Zào Fǎn - Yuè Qí Lín,2,Book
天下长河 | The Long River (TV),2,TV
??? | Empress Ki (TV),2,TV
锦衣卫 - 非天夜翔 | Jǐn Yī Wèi - Fēi Tiān Yè Xiáng,2,Book
兰陵王 | Prince of Lan Ling (TV),2,TV
西楚霸王 - 非天夜翔 | Hegemon of Western Chu - Fēi Tiān Yè Xiáng,2,Book
Royal Chaos (Video Game),2,Video Game
莊子 - 莊周 | Zhuāngzǐ - Zhuāng Zhōu,2,Book
秦王李世民 | Qin Wang Li Shimin (TV),2,TV
Marco Polo (TV),2,TV
三国机密之潜龙在渊 | Secret of the Three Kingdoms (TV),2,TV
??? ? | The King's Dream | Dream of the Emperor (TV 2012),2,TV
长安十二时辰 | The Longest Day in Chang'an (TV),2,TV
长歌行 - 夏达 | Cháng Gē Xíng | Legend of Li Changge - Xia Da (Manhua),2,Manhua
女醫 明妃傳 | The Imperial Doctress (TV),2,TV
大明宫词 | Da Ming Gong Ci | Palace of Desire (TV),2,TV
青龙图腾 - 淮上 | Qīng Lóng Tú Téng - Huái Shàng,2,Book
思美人 | Song of Phoenix (TV),1,TV
王阳明 | Wáng Yángmíng (TV),1,TV
小寶與康熙 | The Duke of Mount Deer (TV 2000),1,TV
鹿鼎記 - 金庸 | The Deer and the Cauldron - Louis Cha,1,Book
鹿鼎記 | The Duke of Mount Deer (Hong Kong 1984),1,TV
Assassin's Creed - All Media Types,1,Video Game
天下無雙 | Chinese Odyssey 2002 (2002),1,Movie
鸿门宴传奇 | White Vengeance (2011),1,Movie
Fong Sai Yok | The Legend (1993),1,Movie
??? ??? | Six Flying Dragons (TV),1,TV
朝歌 | Zhao Ge (TV),1,TV
S.C.I.谜案集 | S.C.I. Mystery (TV),1,TV
三俠五義 - 石玉昆 | The Three Heroes and Five Gallants - Shi Yukun,1,Book
五鼠闹东京 | The Three Heroes and Five Gallants (TV 2016),1,TV
少年包青天 | Young Justice Bao (TV),1,TV
开封奇谈 | Kai Feng Qi Tan (TV),1,TV
