source,target,relationship_type,weight,relationship_gender,relationship_social
Bai_Juyi,Bai_Xingjian,1,1,mm,official-official
Bai_Juyi,Liu_Yuxi,1,7,mm,official-official
Bai_Juyi,Yuan_Zhen|Yuan_Weizhi,1,74,mm,official-official
Bai_Qi|Gongsun_Qi,Fan_Ju|Ji_Shu,1,2,mm,official-official
Bai_Qi|Gongsun_Qi,King_Zhaoxiang_of_Qin|Ying_Ji,1,29,mm,official-monarch
Bai_Qi|Gongsun_Qi,Qu_Yuan_(343-278_BCE),1,1,mm,official-official
Bai_Qi|Gongsun_Qi,Wei_Ran|Mi_Ran,1,1,mm,official-official
Bo_Yikao,Jiang_Ziya,1,1,mm,other
Bo_Yikao,King_Wen_of_Zhou|Ji_Chang,1,3,mm,other
Cai_Yan|Cai_Wenji,Diao_Chan_(Romance_of_the_Three_Kingdoms),1,1,ff,other
Cai_Yong|Cai_Bojie,Li_Ru|Li_Wenyou,2,4,mm,official-official
Cao_Ang|Cao_Zixiu,Dian_Wei_(-197_CE),1,1,mm,other
Cao_Ang|Cao_Zixiu,Sima_Lang|Sima_Boda,1,1,mm,other
Cao_Cao|Cao_Mengde,Cao_Chong|Cao_Cangshu,1,1,mm,other
Cao_Cao|Cao_Mengde,Cao_Hong|Cao_Zilian,1,5,mm,official-monarch
Cao_Cao|Cao_Mengde,Cao_Ren|Cao_Zixiao,1,2,mm,official-monarch
Cao_Cao|Cao_Mengde,Dian_Wei_(-197_CE),1,2,mm,official-monarch
Cao_Cao|Cao_Mengde,Dong_Zhuo|Dong_Zhongying,1,2,mm,official-monarch
Cao_Cao|Cao_Mengde,Guo_Jia|Guo_Fengxiao,1,55,mm,official-monarch
Cao_Cao|Cao_Mengde,Kong_Gui|Kong_Shulin,1,1,mm,official-monarch
Cao_Cao|Cao_Mengde,Lady_Bian|Cao_Cao_s_Wife,1,7,fm,other
Cao_Cao|Cao_Mengde,Lady_Ding|Cao_Cao_s_Wife,1,1,fm,other
Cao_Cao|Cao_Mengde,Liu_Bei|Liu_Xuande,1,62,mm,monarch-monarch
Cao_Cao|Cao_Mengde,Lu_Bu|Lu_Fengxian,1,3,mm,official-monarch
Cao_Cao|Cao_Mengde,Sima_Yi|Sima_Zhongda,1,4,mm,official-monarch
Cao_Cao|Cao_Mengde,Sun_Ce|Sun_Bofu,1,1,mm,monarch-monarch
Cao_Cao|Cao_Mengde,Sun_Quan|Sun_Zhongmou,1,6,mm,monarch-monarch
Cao_Cao|Cao_Mengde,Xi_Zhicai,1,1,mm,official-monarch
Cao_Cao|Cao_Mengde,Xiahou_Yuan|Xiahou_Miaocai,1,1,mm,official-monarch
Cao_Cao|Cao_Mengde,Xu_You|Xu_Ziyuan,1,2,mm,official-monarch
Cao_Cao|Cao_Mengde,Yuan_Shu|Yuan_Gonglu,1,5,mm,monarch-monarch
Cao_Cao|Cao_Mengde,Zhang_He|Zhang_Junyi,1,1,mm,official-monarch
Cao_Cao|Cao_Mengde,Zhen_Ji_(183-221_CE),1,1,fm,other
Cao_Cao|Cao_Mengde,Zhou_Yu|Zhou_Gongjin,1,2,mm,official-monarch
Cao_Cao|Cao_Mengde,Zhuge_Liang|Zhuge_Kongming,1,5,mm,official-monarch
Cao_Fang|Cao_Lanqing,Sima_Gan|Sima_Ziliang,1,1,mm,monarch-prince
Cao_Hong|Cao_Zilian,Cao_Ren|Cao_Zixiao,1,1,mm,official-official
Cao_Pi|Cao_Zihuan,Cao_Zhen|Cao_Zidan,1,1,mm,official-monarch
Cao_Pi|Cao_Zihuan,Guo_Jia|Guo_Fengxiao,1,1,mm,official-monarch
Cao_Pi|Cao_Zihuan,Guo_Nuwang,1,7,mm,other
Cao_Pi|Cao_Zihuan,Jia_Xu|Jia_Wenhe,1,5,mm,official-monarch
Cao_Pi|Cao_Zihuan,Liu_Bei|Liu_Xuande,1,2,mm,monarch-monarch
